chapter_no,section_no,chapter_title,section_title,primary_verdict,textbook_verification,source_modules,first_pass_report,cross_review_report
1,1.1,The Role of Algorithms in Computing,Algorithms,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_01,chapters-01-13.md,cross-review-01-13.md
1,1.2,The Role of Algorithms in Computing,Algorithms as a technology,MINOR,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_01,chapters-01-13.md,cross-review-01-13.md
2,2.1,Getting Started,Insertion sort,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_02.Section_02_1_Insertion_Sort,chapters-01-13.md,cross-review-01-13.md
2,2.2,Getting Started,Analyzing algorithms,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_02.Section_02_2_Analyzing_Algorithms;CLRSLean.FourthEdition.Chapter_02.Section_02_2_Analyzing_Algorithms.LineCost;CLRSLean.FourthEdition.Chapter_02.Section_02_2_Analyzing_Algorithms.LineCost.Definitions;CLRSLean.FourthEdition.Chapter_02.Section_02_2_Analyzing_Algorithms.LineCost.Formula;CLRSLean.FourthEdition.Chapter_02.Section_02_2_Analyzing_Algorithms.LineCost.BestWorst,chapters-01-13.md,cross-review-01-13.md
2,2.3,Getting Started,Designing algorithms,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_02.Section_02_3_Designing_Algorithms;CLRSLean.FourthEdition.Chapter_02.Section_02_3_Designing_Algorithms.Merge;CLRSLean.FourthEdition.Chapter_02.Section_02_3_Designing_Algorithms.Merge.Definitions;CLRSLean.FourthEdition.Chapter_02.Section_02_3_Designing_Algorithms.Merge.Correctness;CLRSLean.FourthEdition.Chapter_02.Section_02_3_Designing_Algorithms.Merge.Cost;CLRSLean.FourthEdition.Chapter_02.Section_02_3_Designing_Algorithms.Merge_Sort_Recurrence,chapters-01-13.md,cross-review-01-13.md
3,3.1,Characterizing Running Times,O-notation Ω-notation and Θ-notation,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_03.Section_03_1_Asymptotic_Notation;CLRSLean.FourthEdition.Chapter_03.Section_03_1_Asymptotic_Notation.Core;CLRSLean.FourthEdition.Chapter_03.Section_03_1_Asymptotic_Notation.CLRSBridge,chapters-01-13.md,cross-review-01-13.md
3,3.2,Characterizing Running Times,Asymptotic notation: formal definitions,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_03.Section_03_1_Asymptotic_Notation;CLRSLean.FourthEdition.Chapter_03.Section_03_1_Asymptotic_Notation.Core;CLRSLean.FourthEdition.Chapter_03.Section_03_1_Asymptotic_Notation.CLRSBridge,chapters-01-13.md,cross-review-01-13.md
3,3.3,Characterizing Running Times,Standard notations and common functions,MATCH,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_03.Section_03_2_Standard_Functions;CLRSLean.FourthEdition.Chapter_03.Section_03_2_Standard_Functions.Core;CLRSLean.FourthEdition.Chapter_03.Section_03_2_Standard_Functions.TextbookIdentities;CLRSLean.FourthEdition.Chapter_03.Section_03_2_Standard_Functions.Robbins;CLRSLean.FourthEdition.Chapter_03.Section_03_2_Standard_Functions.GrowthBridges;CLRSLean.FourthEdition.Chapter_03.Section_03_2_Standard_Functions.GrowthHierarchy,chapters-01-13.md,cross-review-01-13.md
4,4.1,Divide-and-Conquer,Multiplying square matrices,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_04.Section_04_1_Multiplying_Square_Matrices,chapters-01-13.md,cross-review-01-13.md
4,4.2,Divide-and-Conquer,Strassen’s algorithm for matrix multiplication,UNCERTAIN,NOT-INDEPENDENTLY-VERIFIED,CLRSLean.FourthEdition.Chapter_04.Section_04_2_Strassen_Algorithm,chapters-01-13.md,cross-review-01-13.md
